email_id,email_type,campaign_id,word_count,total_links,total_images,email_status,customer_id
EMA00081007526220,aggressive,2,424,9,0,0,26119
EMA00081007543840,aggressive,9,40,6,0,1,39076
EMA00081008070240,soft,10,704,4,0,0,17872
EMA00081008093160,soft,7,1140,9,0,0,11320
EMA00081008120900,soft,13,760,13,0,0,35451
EMA00081008131520,aggressive,7,339,3,0,0,19053
EMA00081008189900,soft,5,1122,6,5,0,17263
EMA00081008258350,aggressive,20,623,2,0,0,22109
EMA00081008310930,aggressive,1,744,2,0,0,29943
EMA00081008315140,soft,15,744,7,0,0,31586
EMA00081008458330,aggressive,7,1014,6,0,0,39919
EMA00081008700140,soft,16,962,11,2,0,15635
EMA00081008865100,aggressive,8,339,11,3,1,16842
EMA00081008868820,soft,22,962,21,20,1,27556
EMA00081008869260,soft,15,577,11,0,0,15734
EMA00081008954150,soft,17,282,16,15,0,33593
EMA00081009118010,soft,19,504,11,0,0,29691
EMA00081009281240,soft,12,424,6,0,0,21181
EMA00081009310960,aggressive,15,550,6,0,1,15798
EMA00081009405190,soft,10,904,28,21,1,17659
EMA00081009511290,soft,20,623,0,14,0,35054
EMA00081009519870,aggressive,17,630,16,12,0,17156
EMA00081009608980,soft,13,655,13,2,0,23289
EMA00081009673410,aggressive,12,550,4,0,1,32479
EMA00081009795330,soft,3,608,14,2,0,36167
EMA00081009799510,soft,6,713,4,0,0,31300
EMA00081009981840,soft,4,855,4,0,0,12955
EMA00081010009450,soft,5,741,8,0,0,31394
EMA00081010259340,soft,19,550,8,5,0,27997
EMA00081010405120,soft,18,684,11,0,0,14268
EMA00081010465580,soft,16,416,9,7,0,18095
EMA00081010471580,soft,20,700,6,0,0,36239
EMA00081010575180,aggressive,13,939,11,1,0,23353
EMA00081010622220,soft,21,904,11,1,1,30589
EMA00081010801090,soft,12,470,11,7,0,38121
EMA00081010895030,soft,11,653,6,0,0,17211
EMA00081010942490,aggressive,13,462,11,4,0,33863
EMA00081010962100,soft,18,673,21,14,0,20414
EMA00081011083600,soft,5,608,31,18,0,28711
EMA00081011161830,soft,1,842,0,0,0,16656
EMA00081011237290,soft,10,458,6,0,1,35288
EMA00081011274250,soft,16,934,14,8,0,35752
EMA00081011285290,aggressive,16,636,8,0,1,30483
EMA00081011318330,aggressive,11,806,6,0,1,12597
EMA00081011451780,soft,6,352,8,0,1,28714
EMA00081011515250,soft,16,902,11,9,0,34334
EMA00081011592270,soft,18,610,6,3,0,33361
EMA00081011943550,aggressive,9,812,11,0,0,23314
EMA00081012060570,soft,16,1303,14,2,0,13193
EMA00081012169470,soft,17,366,8,0,0,17397
EMA00081012315020,soft,17,366,11,2,0,39318
EMA00081012404040,aggressive,15,1103,6,2,0,15766
EMA00081012570820,soft,20,462,14,1,0,22655
EMA00081012600940,soft,3,855,9,5,0,21414
EMA00081012651600,soft,17,684,6,2,0,24960
EMA00081012794760,soft,5,560,5,0,1,15705
EMA00081012885500,soft,2,694,9,6,0,39081
EMA00081012927750,aggressive,6,912,11,6,0,39069
EMA00081012980250,aggressive,2,419,21,13,0,28842
EMA00081013352590,soft,2,868,11,0,0,38992
EMA00081013381100,soft,22,610,8,0,1,17313
EMA00081013442150,soft,10,655,6,0,0,22639
EMA00081013510610,soft,16,610,9,0,1,28848
EMA00081013551490,aggressive,22,311,4,3,1,16036
EMA00081013741620,soft,9,608,9,5,0,29719
EMA00081014117770,aggressive,4,610,16,0,0,28084
EMA00081014237920,soft,4,577,11,0,0,39450
EMA00081014254350,soft,6,1229,11,0,1,23704
EMA00081014392800,soft,19,741,21,7,1,30846
EMA00081014702900,soft,1,389,24,16,0,11349
EMA00081014757790,aggressive,17,339,9,0,0,26417
EMA00081014846850,soft,17,490,26,25,0,34632
EMA00081014912890,soft,5,608,8,0,1,16140
EMA00081014942310,soft,12,1157,41,25,0,36059
EMA00081015071770,aggressive,17,1157,4,0,0,31294
EMA00081015124100,aggressive,2,608,9,0,0,30210
EMA00081015295340,soft,2,982,1,0,1,23838
EMA00081015417770,soft,10,339,6,0,1,30674
EMA00081015551490,aggressive,11,922,11,0,0,18477
EMA00081015693020,soft,5,1102,19,16,0,16524
EMA00081015693700,soft,5,504,11,0,1,13963
EMA00081015744810,aggressive,5,741,11,3,0,32736
EMA00081015795400,soft,21,841,16,0,0,26419
EMA00081015976260,soft,11,778,21,10,0,24963
EMA00081016123350,soft,5,700,14,0,0,31571
EMA00081016183960,soft,17,593,21,13,1,28507
EMA00081016265850,soft,17,636,24,13,0,38739
EMA00081016354000,aggressive,10,934,11,7,0,34241
EMA00081016359350,soft,22,610,14,10,1,12468
EMA00081016365090,soft,21,1140,26,20,2,20029
EMA00081016380670,soft,1,389,5,0,0,39706
EMA00081016462400,soft,16,636,41,24,0,29700
EMA00081016516940,soft,21,416,14,0,1,14399
EMA00081016520050,soft,3,1061,11,9,0,25470
EMA00081016578260,soft,16,892,16,15,0,28468
EMA00081016581200,soft,13,577,11,0,0,31833
EMA00081016692820,soft,14,939,19,14,0,25443
EMA00081016720210,aggressive,8,741,8,6,1,13271
EMA00081016758910,aggressive,15,673,14,3,0,12819
EMA00081016770200,soft,6,608,4,2,1,19624
EMA00081016774640,soft,15,741,14,0,0,33373
EMA00081016819220,soft,14,988,1,0,1,39015
EMA00081016853880,soft,13,542,16,8,1,23365
EMA00081016857910,soft,14,542,14,10,0,19755
EMA00081017109030,soft,1,855,11,0,0,16638
EMA00081017175820,soft,19,251,14,1,0,33570
EMA00081017211960,aggressive,22,152,14,6,1,27716
EMA00081017221720,soft,12,962,19,10,1,17355
EMA00081017329690,soft,21,416,14,7,0,27019
EMA00081017413450,soft,21,1157,4,0,0,20700
EMA00081017674660,soft,21,933,9,0,0,35363
EMA00081017716590,soft,18,424,5,3,0,37966
EMA00081017764290,soft,21,1216,14,13,0,30987
EMA00081017815160,soft,1,744,11,0,0,38406
EMA00081017875420,aggressive,11,684,5,1,0,25633
EMA00081018068660,soft,17,962,4,0,0,19220
EMA00081018191810,soft,19,339,5,0,0,28136
EMA00081018201160,aggressive,6,593,16,13,0,34417
EMA00081018235670,aggressive,17,1271,19,1,0,24041
EMA00081018306700,soft,19,1140,21,10,0,23520
EMA00081018366040,soft,21,827,16,5,0,25588
EMA00081018576200,soft,9,655,14,0,0,38880
EMA00081018900840,aggressive,7,392,8,6,2,31438
EMA00081018906130,soft,22,524,7,0,0,33957
EMA00081019484190,aggressive,13,806,6,0,0,24187
EMA00081019488040,soft,17,1189,6,0,0,37965
EMA00081019572850,soft,19,904,4,0,0,28554
EMA00081019777110,soft,15,608,6,0,0,23353
EMA00081019821520,soft,16,550,11,0,0,38147
EMA00081019848410,soft,19,1229,4,2,0,26021
EMA00081019989610,soft,11,730,0,0,0,16023
EMA00081020063960,soft,9,1241,9,4,0,25507
EMA00081020197590,soft,12,458,6,0,0,26055
EMA00081020246540,aggressive,9,1038,11,10,0,28734
EMA00081020301680,soft,17,623,14,10,2,30055
EMA00081020326400,soft,12,1280,11,0,0,11894
EMA00081020362610,soft,18,79,6,0,0,31984
EMA00081020437910,soft,8,1140,4,0,1,36603
EMA00081020660780,soft,13,424,31,25,1,28269
EMA00081021086160,aggressive,12,733,14,0,0,12934
EMA00081021098050,soft,9,560,16,0,0,25398
EMA00081021234570,aggressive,20,577,8,3,0,28651
EMA00081021235750,soft,9,904,21,8,0,28651
EMA00081021236710,soft,1,366,8,4,1,37769
EMA00081021324680,soft,14,416,2,0,0,23084
EMA00081021338230,aggressive,21,1296,9,0,0,20602
EMA00081021427880,soft,16,684,11,0,0,34346
EMA00081021459040,soft,11,392,6,0,0,10942
EMA00081021471310,soft,18,873,11,5,0,30671
EMA00081021483550,soft,19,1216,12,6,0,37486
EMA00081021497510,soft,19,700,11,0,0,23078
EMA00081021582540,soft,22,1241,13,7,0,23844
EMA00081021647720,soft,9,855,11,0,0,26588
EMA00081021719190,soft,9,1203,4,3,1,25292
EMA00081021744930,soft,18,470,0,4,0,23328
EMA00081021787590,soft,7,1103,14,5,0,33712
EMA00081021907800,soft,15,623,6,0,0,21177
EMA00081022149680,soft,2,933,16,6,0,21798
EMA00081022223450,aggressive,5,760,5,0,0,14460
EMA00081022263580,soft,16,771,11,1,2,15107
EMA00081022290390,soft,20,673,0,18,0,26749
EMA00081022349390,soft,19,662,8,0,0,21860
EMA00081022448000,soft,4,662,21,12,1,23966
EMA00081022666060,soft,16,577,9,0,1,25550
EMA00081022677590,aggressive,16,608,9,0,0,34322
EMA00081022718570,soft,7,419,14,4,0,19290
EMA00081022752200,aggressive,22,145,4,0,0,26323
EMA00081022770030,soft,14,99,19,1,0,33867
EMA00081022816880,soft,18,314,14,0,0,28125
EMA00081022862990,soft,8,700,8,0,0,15769
EMA00081022906600,soft,14,631,26,17,0,14268
EMA00081022954070,soft,20,610,10,3,1,38992
EMA00081023018870,soft,22,593,21,9,0,14939
EMA00081023031930,soft,10,1038,21,12,0,31652
EMA00081023095350,aggressive,10,977,0,17,0,20202
EMA00081023187300,aggressive,7,187,8,0,0,20974
EMA00081023314640,soft,21,841,14,0,0,26993
EMA00081023406490,aggressive,14,1173,5,0,0,23543
EMA00081023540440,aggressive,13,649,7,0,0,34239
EMA00081023631050,soft,17,987,9,0,0,14138
EMA00081023701900,soft,9,694,16,10,1,21836
EMA00081023709450,aggressive,17,873,9,0,0,32893
EMA00081023760900,soft,4,760,0,5,0,29783
EMA00081023826280,soft,8,542,5,0,0,21813
EMA00081023862400,soft,3,855,6,0,0,28348
EMA00081023880930,aggressive,22,366,11,0,2,27493
EMA00081023890140,soft,18,67,6,0,1,11731
EMA00081023955300,soft,7,678,8,0,0,16483
EMA00081024151420,aggressive,8,662,4,2,0,36701
EMA00081024225720,soft,12,187,4,0,2,19747
EMA00081024405850,soft,14,1189,8,4,0,15970
EMA00081024428760,aggressive,12,771,2,0,0,33435
EMA00081024469640,soft,11,311,0,1,1,25252
EMA00081024476240,aggressive,4,392,6,4,2,28093
EMA00081024484430,aggressive,18,721,6,0,0,29451
EMA00081024519320,aggressive,7,868,6,4,0,35090
EMA00081024539180,soft,13,1082,11,0,0,27675
EMA00081024736710,aggressive,16,694,11,5,0,26679
EMA00081024849550,aggressive,9,741,18,0,0,24696
EMA00081024911480,aggressive,20,490,11,0,2,29945
EMA00081024976910,soft,21,1103,14,0,0,32855
EMA00081025166760,soft,15,419,11,5,1,39977
EMA00081025236100,soft,11,1157,21,13,0,18189
EMA00081025252450,soft,12,605,0,15,1,29691
EMA00081025332670,soft,5,560,6,0,0,29718
EMA00081025488860,soft,18,392,0,2,0,17846
EMA00081025674790,soft,4,713,16,6,0,18986
EMA00081025706290,soft,13,419,14,10,1,26798
EMA00081025760760,aggressive,12,311,8,6,0,14064
EMA00081025812230,soft,12,655,16,6,0,11320
EMA00081025812630,soft,7,771,8,0,0,37512
EMA00081025813450,soft,20,873,11,0,0,12179
EMA00081025889620,aggressive,17,1303,21,12,0,27153
EMA00081025911470,soft,14,462,11,5,0,26369
EMA00081026089900,soft,15,1122,21,18,0,16943
EMA00081026133390,aggressive,1,704,6,0,0,25359
EMA00081026232410,soft,1,560,21,9,0,25668
EMA00081026517490,soft,15,419,4,0,1,32884
EMA00081026836930,soft,14,1038,6,0,0,13751
EMA00081026838260,aggressive,11,741,6,2,0,35660
EMA00081027000660,aggressive,1,678,21,8,0,12045
EMA00081027042980,soft,17,610,16,15,0,39565
EMA00081027102940,soft,5,630,4,0,1,26388
EMA00081027184880,soft,19,778,6,3,0,13902
EMA00081027185990,soft,16,524,11,5,0,31340
EMA00081027237510,soft,9,1122,21,6,0,21493
EMA00081027319160,soft,17,694,24,13,2,12048
EMA00081027397710,aggressive,9,768,6,5,0,16023
EMA00081027543510,soft,13,608,8,2,0,32224
EMA00081027848380,aggressive,5,733,6,0,0,23442
EMA00081028021330,soft,5,152,8,0,0,14819
EMA00081028094160,aggressive,2,812,1,0,1,31279
EMA00081028190400,soft,8,662,3,0,0,30998
EMA00081028198570,soft,18,704,5,0,0,30175
EMA00081028199280,soft,20,630,9,0,1,18892
EMA00081028246030,soft,3,892,21,20,0,12564
EMA00081028249420,soft,11,440,9,3,0,10225
EMA00081028330970,aggressive,20,842,4,1,0,37557
EMA00081028405950,soft,21,730,8,4,0,18980
EMA00081028568960,soft,14,962,11,9,0,28554
EMA00081028913050,soft,18,419,11,8,1,11384
EMA00081029097360,soft,21,827,14,2,0,29894
EMA00081029143710,aggressive,2,1122,11,8,0,33873
EMA00081029462840,aggressive,9,550,6,0,0,14328
EMA00081029589560,aggressive,11,1140,14,0,0,32172
EMA00081029648820,soft,21,653,1,0,1,39207
EMA00081029933600,soft,10,933,14,0,0,34599
EMA00081030015970,aggressive,2,694,11,1,0,38114
EMA00081030079160,soft,12,673,11,9,0,19358
EMA00081030169140,soft,20,578,21,11,1,38299
EMA00081030176630,soft,20,484,6,1,0,37600
EMA00081030387020,soft,15,484,4,0,0,17916
EMA00081030402150,soft,4,145,6,0,0,17763
EMA00081030409190,soft,20,608,11,8,0,10115
EMA00081030506110,soft,5,1280,11,8,0,15507
EMA00081030533550,soft,11,1061,18,4,0,10837
EMA00081030652400,soft,13,366,16,14,0,36511
EMA00081030724900,soft,18,1216,31,16,0,19480
EMA00081030830710,soft,11,440,14,6,0,26035
EMA00081031111540,soft,7,733,6,2,0,19788
EMA00081031129170,soft,9,988,6,0,1,37501
EMA00081031173540,soft,15,484,6,0,0,15583
EMA00081031250340,soft,10,504,6,3,0,39019
EMA00081031273220,soft,3,922,16,5,0,16624
EMA00081031285670,aggressive,21,934,8,0,0,25379
EMA00081031315040,soft,20,518,11,0,0,28041
EMA00081031606070,soft,9,673,6,1,0,11058
EMA00081031651790,soft,11,678,5,0,0,37372
EMA00081031670990,soft,16,282,0,3,0,35801
EMA00081031676110,aggressive,13,1229,6,0,0,35026
EMA00081031838230,soft,22,661,6,0,0,12980
EMA00081031842840,soft,8,518,6,4,0,17601
EMA00081031869610,soft,19,484,8,0,0,17916
EMA00081031924620,soft,20,904,11,4,0,16890
EMA00081031927330,soft,14,1082,11,3,0,19392
EMA00081032039960,soft,5,608,9,3,0,36265
EMA00081032089850,soft,4,684,7,5,0,19273
EMA00081032140150,soft,3,827,21,4,0,15099
EMA00081032152610,aggressive,17,1014,11,0,0,13403
EMA00081032195850,aggressive,19,352,8,1,0,33613
EMA00081032210250,aggressive,12,880,4,0,0,37895
EMA00081032227190,soft,4,741,6,4,0,28844
EMA00081032244630,aggressive,3,855,31,16,1,10284
EMA00081032366280,soft,9,733,6,0,0,33549
EMA00081032430880,soft,14,684,6,0,0,15993
EMA00081032467180,soft,15,988,21,20,0,11571
EMA00081032490980,soft,6,873,26,7,0,32829
EMA00081032505360,soft,16,700,14,3,0,17696
EMA00081032559910,soft,4,662,16,15,0,21586
EMA00081032570580,soft,19,1038,18,11,0,39945
EMA00081032633400,soft,16,673,11,0,0,11790
EMA00081032668550,soft,11,220,4,0,1,34566
EMA00081032705930,soft,19,922,9,0,0,25337
EMA00081032720380,soft,7,733,11,7,0,26864
EMA00081032826800,aggressive,19,275,6,0,0,17477
EMA00081033074400,soft,17,220,0,1,0,22291
EMA00081033103680,aggressive,14,649,6,1,0,15260
EMA00081033211790,soft,4,721,11,0,0,13860
EMA00081033258560,soft,10,661,6,0,0,39198
EMA00081033294470,soft,13,424,11,10,0,28277
EMA00081033419320,aggressive,16,608,11,0,1,15347
EMA00081033426530,soft,19,593,4,0,0,34402
EMA00081033760970,soft,18,806,11,0,0,35236
EMA00081033898050,aggressive,1,1103,4,0,0,37410
EMA00081033925730,aggressive,18,504,9,0,0,29572
EMA00081033968050,soft,21,419,6,0,0,16646
EMA00081034003860,soft,6,416,14,12,0,28981
EMA00081034127290,soft,13,733,11,0,2,30936
EMA00081034170510,soft,22,152,6,2,1,15850
EMA00081034367780,aggressive,20,484,2,0,0,22257
EMA00081034415040,soft,19,827,21,14,0,18401
EMA00081034479810,soft,11,842,5,0,0,39520
EMA00081034589950,soft,4,608,14,0,0,36957
EMA00081034659260,soft,12,419,16,7,0,26726
EMA00081034666940,soft,16,684,11,0,0,36265
EMA00081034686150,aggressive,8,1103,4,0,0,29824
EMA00081034816080,soft,2,694,11,2,0,35054
EMA00081034859820,aggressive,21,190,4,0,1,26005
EMA00081035059050,soft,3,462,11,0,1,12941
EMA00081035202170,aggressive,9,623,4,0,0,34514
EMA00081035227150,soft,21,578,8,0,1,18968
EMA00081035283790,soft,19,40,4,1,1,30620
EMA00081035308990,soft,8,721,16,0,0,33264
EMA00081035314040,soft,14,311,6,0,1,28554
EMA00081035318490,soft,7,721,6,0,0,34779
EMA00081035436590,soft,1,521,7,0,0,31294
EMA00081035499190,soft,3,760,31,16,2,25739
EMA00081035521800,soft,3,458,4,0,0,35269
EMA00081035539420,soft,19,593,12,8,0,15966
EMA00081035557410,soft,7,1038,11,0,0,16150
EMA00081035597380,soft,16,673,21,9,0,26656
EMA00081035835050,aggressive,5,1061,8,0,1,16748
EMA00081035946620,aggressive,3,655,6,1,0,28269
EMA00081036007340,soft,21,653,4,0,0,37154
EMA00081036216330,soft,1,1038,6,0,0,26156
EMA00081036400380,aggressive,7,962,0,5,0,38039
EMA00081036648240,soft,19,220,14,0,0,31094
EMA00081036714120,soft,21,623,6,0,0,21428
EMA00081036750960,soft,9,132,6,0,0,24719
EMA00081036762370,aggressive,22,458,4,0,1,26686
EMA00081036903090,soft,13,868,0,9,0,30130
EMA00081036910280,aggressive,19,504,4,0,0,10020
EMA00081036960370,soft,21,778,5,0,0,11672
EMA00081037018940,soft,3,868,14,2,0,19994
EMA00081037071460,aggressive,4,550,6,0,0,11362
EMA00081037162450,aggressive,3,1061,8,6,0,24912
EMA00081037163300,soft,12,311,11,0,0,12262
EMA00081037181090,soft,14,778,6,0,0,14797
EMA00081037227210,soft,8,490,6,0,1,35165
EMA00081037409020,soft,14,855,6,5,0,39926
EMA00081037413900,aggressive,6,504,11,0,0,29537
EMA00081037550900,soft,1,806,6,0,0,16685
EMA00081037564930,soft,19,770,6,2,0,36771
EMA00081037769800,aggressive,15,988,14,11,0,15419
EMA00081037837390,aggressive,22,730,6,3,0,37330
EMA00081037894760,soft,12,649,5,2,0,13397
EMA00081037895650,soft,8,132,6,0,1,13098
EMA00081037901900,soft,13,933,11,0,1,22362
EMA00081037964380,aggressive,18,722,21,11,0,39303
EMA00081038059530,soft,6,1229,4,0,0,31911
EMA00081038111940,soft,1,655,4,0,0,24450
EMA00081038250510,soft,9,771,6,0,1,11153
EMA00081038349400,soft,5,673,21,0,1,29957
EMA00081038387060,soft,5,741,11,4,0,27444
EMA00081038406960,soft,21,636,8,6,1,19324
EMA00081038677670,soft,1,827,21,5,0,13686
EMA00081038759920,soft,10,934,7,0,1,35190
EMA00081038880070,soft,12,605,2,0,0,20611
EMA00081038895280,aggressive,2,653,21,19,0,39637
EMA00081039003370,soft,17,733,26,10,0,33345
EMA00081039112520,soft,20,684,26,25,0,12106
EMA00081039113840,aggressive,7,892,5,0,0,27225
EMA00081039336860,soft,16,840,9,5,0,27518
EMA00081039403230,soft,15,806,11,6,0,19755
EMA00081039428530,soft,16,1229,16,10,0,10108
EMA00081039462690,aggressive,20,366,6,0,0,23181
EMA00081039534040,aggressive,11,605,4,0,1,19514
EMA00081039536970,soft,2,424,11,7,0,18647
EMA00081039572180,soft,3,623,11,0,0,21425
EMA00081039588980,aggressive,13,655,11,0,0,33713
EMA00081039705590,aggressive,7,721,16,0,0,29693
EMA00081039751300,soft,11,636,16,0,1,25443
EMA00081039787860,soft,13,610,0,13,1,36592
EMA00081039869260,soft,6,840,0,0,1,13608
EMA00081039891640,soft,8,630,8,1,0,10542
EMA00081040096160,soft,17,630,11,9,0,17601
EMA00081040100900,soft,11,713,11,2,0,15075
EMA00081040293980,aggressive,3,962,9,7,0,23044
EMA00081040822500,soft,9,1061,13,10,0,33867
EMA00081040872420,aggressive,3,560,11,10,0,24648
EMA00081040909370,aggressive,1,484,16,8,0,37129
EMA00081041065020,soft,10,484,21,13,1,29626
EMA00081041178160,aggressive,18,608,11,0,1,31438
EMA00081041340230,aggressive,21,233,31,14,1,17271
EMA00081041388570,soft,20,842,19,15,0,11895
EMA00081041529310,soft,21,392,11,0,2,14915
EMA00081041655380,soft,11,1216,6,0,0,34835
EMA00081041661340,soft,7,694,5,0,1,21562
EMA00081041749060,soft,14,922,6,0,0,31984
EMA00081042027300,soft,19,605,16,0,0,24676
EMA00081042047570,soft,7,1140,5,0,0,36855
EMA00081042130990,soft,22,484,11,7,0,32333
EMA00081042190350,soft,18,366,11,10,1,17726
EMA00081042244530,soft,10,550,8,0,0,14080
EMA00081042476800,aggressive,15,722,21,14,1,12151
EMA00081042573420,soft,20,1061,9,0,0,34773
EMA00081042612330,aggressive,7,484,4,0,1,27824
EMA00081042649690,aggressive,4,855,9,0,0,12950
EMA00081042893820,soft,4,67,8,0,1,39836
EMA00081043323740,soft,21,922,9,0,0,31335
EMA00081043345350,soft,11,655,8,0,0,16344
EMA00081043410120,aggressive,20,577,2,0,0,36245
EMA00081043493070,soft,13,912,14,8,1,28981
EMA00081043567750,soft,17,524,11,10,0,11440
EMA00081043637290,soft,14,827,28,10,0,14726
EMA00081043663060,soft,16,608,0,0,0,36957
EMA00081043808630,soft,6,741,8,0,0,20498
EMA00081043887630,soft,21,649,9,7,0,23168
EMA00081043914980,aggressive,21,578,14,13,0,31743
EMA00081044167920,soft,3,490,11,8,0,15198
EMA00081044242890,soft,12,504,4,0,0,29147
EMA00081044673180,soft,10,760,8,6,0,17784
EMA00081044692540,soft,22,1140,8,0,0,10542
EMA00081044730890,soft,22,470,2,0,0,10065
EMA00081044772850,soft,14,868,8,0,0,33112
EMA00081044890940,soft,21,673,8,0,0,31652
EMA00081045064190,soft,15,721,14,12,0,38291
EMA00081045155710,aggressive,8,655,16,12,0,25773
EMA00081045165910,aggressive,16,655,11,0,0,34590
EMA00081045174050,soft,13,610,10,3,1,38803
EMA00081045188260,soft,18,962,11,4,0,18080
EMA00081045219800,soft,9,982,0,7,0,11072
EMA00081045520150,soft,12,962,6,0,0,21158
EMA00081045633430,soft,5,311,2,0,0,12220
EMA00081045700330,soft,6,458,16,14,0,12085
EMA00081045794500,soft,2,470,15,4,1,12687
EMA00081046073580,soft,16,700,4,0,0,30175
EMA00081046118230,aggressive,3,253,2,0,1,39945
EMA00081046140730,soft,22,578,4,0,0,26370
EMA00081046251450,soft,12,1189,16,5,1,26625
EMA00081046388880,soft,4,931,11,7,0,35617
EMA00081046565430,soft,18,649,9,8,0,33464
EMA00081046843460,soft,22,778,9,7,0,17464
EMA00081046864140,soft,9,339,11,9,1,36600
EMA00081046943460,soft,16,578,8,0,1,16890
EMA00081047251890,soft,11,694,14,9,0,33738
EMA00081047385090,soft,4,524,11,4,0,35033
EMA00081047477070,soft,5,366,4,0,0,11775
EMA00081047539790,soft,2,700,31,15,0,36055
EMA00081047763400,soft,22,721,11,0,0,38803
EMA00081048015960,soft,12,1203,4,0,0,34839
EMA00081048068100,soft,8,1038,11,4,0,35122
EMA00081048077220,soft,12,655,9,7,1,21509
EMA00081048130420,soft,5,1103,0,23,0,25475
EMA00081048152910,soft,22,1296,9,0,0,23234
